	N120	N123	N124	N126	N130	N131	N137	N138	N140	N141	N142	N144	N145	N146	N148	N149	N150	N151	N153	N154	N156	N157	N158	N160	N161	N162	N163	N165	N166	N169	N170	N171	N172	N175	N176	N177	N178	N179	N180	N181	N182	N183	N185	N186	N187	N188	N189	N190	N192	N197	N200	N201	N202	N203	N204	N205	N208	N209	N210	N211	N212	N214	N215	N216	N219	N220	N221	N222	N223	N224	N226	N228	N229	N230	N232	N233	N237	N238	N239	N240	N242	N244	N245	N246	N248	N250	N251	N252	N254	N255	N257	N261	N262	N263	N264	N265	N267	N268	N270
THBS4	5.57793207	6.760868767	5.263444185	4.27424155	5.333304234	6.337132953	4.850623093	5.481301684	7.630027227	6.41979	2.61185	6.620706139	3.391850848	7.950876176	8.596988688	3.928825195	7.333256476	7.24665957	3.448838377	7.45862	6.457129649	5.9588	7.093193689	4.437688852	3.913631684	4.09964619	2.521534107	5.384998934	2.085507379	7.370003689	6.332696999	6.623448767	7.893106266	2.85271	4.794801268	5.303428767	7.875473093	4.943627499	5.218595195	5.83328	6.579883754	5.87921	4.986458688	2.103686476	4.997730581	6.378770581	6.112786139	3.302167227	6.74537155	6.945605663	6.852320672	5.372781905	3.837270848	6.607117338	3.862130593	4.35147	4.36961	7.097113348	7.625082759	5.901306176	7.304797379	5.48509207	4.076640581	3.410028934	6.045026346	5.70259314	6.485937379	5.875736476	2.112100848	4.63746147	6.668431733	4.720327227	5.281643093	8.379475735	4.56657147	7.652033349	7.003713754	3.780346176	6.530311905	5.774325663	4.989116999	6.94396	8.69335147	9.708635254	8.804021268	5.676183689	8.365660672	3.44466	5.677935254	8.098111503	4.943791268	5.298558852	5.44124	9.087017338	8.244675663	8.012638688	6.814496472	6.251278852	7.568827338
F7	7.22784207	6.671228767	6.209804185	7.35081155	6.634584234	5.286502953	7.024383093	6.237681684	4.640957227	6.24325	4.45698	5.759356139	6.273170848	8.815696176	8.607258688	5.438765195	8.898726476	5.59943957	4.815738377	7.69543	7.268509649	6.6015	5.797013689	8.674388852	5.050401684	6.40948619	2.582604107	5.232658934	6.051377379	8.946013689	4.106126999	7.875608767	7.778206266	6.56293	6.979831268	4.959318767	8.095203093	6.593667499	6.334415195	7.21732	4.001113754	7.58079	5.656248688	6.874036476	6.620190581	5.168260581	5.049876139	5.152957227	5.20220155	5.971585663	7.438320672	3.271971905	6.903860848	5.320777338	4.920300593	6.09637	4.04426	6.206703348	6.007602759	5.788606176	7.233867379	3.51212207	6.058170581	4.502948934	6.852626346	5.42948314	8.247577379	6.163276476	5.949490848	5.64218147	5.832231733	6.577417227	7.245583093	6.427795735	5.78275147	8.444193349	5.328463754	4.305156176	6.009651905	6.673235663	2.583256999	7.74398	6.12108147	6.910075254	6.457851268	7.871823689	5.973270672	3.87802	8.300975254	5.853901503	6.529011268	5.088108852	7.00936	7.251207338	6.624925663	5.530718688	6.611206472	5.051538852	6.934387338
GP1BA	2.98260207	6.929638767	3.388224185	4.59202155	5.450664234	5.019632953	3.553763093	4.479721684	6.349297227	2.35123	3.44747	4.682326139	3.229430848	5.770286176	6.065368688	2.823585195	6.024586476	3.90873957	3.935388377	4.86756	5.375589649	4.86826	4.684793689	5.195638852	3.046181684	6.22173619	3.084744107	5.973788934	2.205447379	4.451863689	4.125556999	2.982388767	5.651836266	2.12697	3.401711268	5.828948767	6.348953093	3.970207499	3.797305195	4.61877	6.057463754	4.05005	4.387688688	2.512556476	3.383140581	4.340810581	3.616196139	1.828027227	3.06336155	4.013225663	2.413180672	4.194951905	3.500770848	3.771117338	3.477560593	2.00533	3.2479	3.093993348	5.974802759	4.706086176	3.384187379	3.41527207	3.785630581	5.574448934	4.327846346	4.69164314	3.375727379	3.394016476	2.337130848	2.57487147	4.138671733	2.788497227	3.364333093	5.783285735	3.77731147	4.936703349	5.800363754	3.795426176	4.734651905	4.493865663	2.818156999	4.1281	5.72374147	4.861375254	5.164041268	6.416583689	5.259400672	3.80131	1.697545254	4.503861503	2.501761268	4.760868852	5.63285	5.048917338	5.102155663	5.555478688	4.405796472	3.780218852	2.458557338
LYVE1	5.08459207	6.405198767	2.065764185	5.14499155	5.477184234	6.339872953	4.453613093	3.776841684	5.630197227	3.90571	5.19079	6.634546139	3.586130848	6.746536176	8.223658688	4.092195195	3.144276476	6.14432957	4.421168377	3.92995	4.777189649	5.5683	6.618213689	4.285518852	5.122171684	4.19051619	4.517594107	4.890408934	4.203597379	5.379603689	4.658836999	4.581108767	5.108396266	3.69949	4.627001268	6.362398767	3.834963093	3.804447499	4.473135195	3.28318	4.906863754	4.95131	5.692158688	3.936816476	5.595940581	5.696230581	5.194646139	2.071227227	4.69629155	5.077865663	3.317520672	3.599241905	4.690530848	5.312727338	4.186320593	2.9484	4.60166	4.810903348	5.261062759	5.619816176	4.039227379	4.36942207	5.700750581	4.586538934	6.396736346	5.14144314	5.905507379	4.303076476	4.038650848	4.99579147	5.116791733	4.780227227	3.915013093	5.363785735	5.05370147	6.166463349	4.687983754	2.263316176	5.790791905	3.553175663	2.870176999	3.98807	4.93426147	5.619985254	4.823151268	4.800713689	4.782890672	4.15563	1.803045254	5.167551503	4.036951268	5.251888852	4.05461	6.426527338	6.476225663	6.445158688	4.738376472	6.085148852	4.835117338
CA3	4.40027207	6.490758767	1.569034185	5.68341155	6.545214234	5.135542953	6.399853093	4.964541684	7.374267227	3.8497	3.96967	4.050896139	3.597090848	5.358686176	7.157568688	3.482565195	3.476876476	4.91063957	2.771698377	4.34424	6.541039649	4.80396	5.946163689	4.675068852	3.824901684	6.35803619	3.084514107	7.570348934	3.000007379	5.474033689	7.208226999	5.031308767	7.002486266	3.06253	4.398311268	5.420678767	5.604013093	6.076137499	6.126885195	3.96578	6.900043754	4.71575	5.567898688	3.678646476	3.499770581	7.788420581	6.780046139	2.465337227	5.45135155	4.509595663	3.572110672	4.318961905	2.923870848	4.808997338	3.394990593	4.09529	3.90115	3.458443348	7.416952759	5.611116176	5.049157379	3.96459207	4.658580581	4.595028934	3.563816346	4.22636314	2.478247379	3.497546476	4.665510848	1.89521147	4.295641733	4.546397227	2.948683093	6.213865735	4.90352147	4.329663349	4.870803754	4.260216176	6.166841905	3.452355663	2.607486999	4.45682	6.51210147	5.954395254	4.846311268	6.204963689	5.417580672	4.81978	1.492715254	3.898471503	4.065801268	6.077998852	2.64388	4.292817338	5.544065663	4.897568688	3.604586472	4.518248852	2.632117338
TGFBR3	1.00861207	2.530228767	0.907374185	1.72620155	1.066504234	0.465872953	2.080473093	0.386021684	1.356257227	0.65323	0.19107	1.443946139	0.886370848	2.753726176	4.139358688	0.0	1.380896476	2.20783957	-0.113631623	0.82686	2.089299649	2.05358	1.181083689	0.0	-0.158998316	1.95576619	0.0	0.594928934	0.0	1.352463689	0.306346999	1.397598767	1.432766266	0.2581	1.154091268	1.739078767	1.436973093	0.820167499	0.616965195	0.03079	0.893163754	1.01305	1.651068688	-0.054753524	0.538150581	1.661200581	0.595336139	0.326987227	0.63855155	0.576505663	1.079910672	0.176901905	0.072390848	0.783057338	0.010990593	0.24846	0.14872	0.190343348	1.976912759	1.066326176	2.002127379	-0.11709793	0.763070581	-0.162511066	0.742706346	0.0	0.567617379	0.558736476	0.0	0.0	0.0	0.549827227	0.0	1.613795735	0.10262147	2.290123349	0.955253754	0.0	1.186641905	1.023405663	0.0	0.65529	1.73474147	1.459465254	1.082731268	1.108323689	1.129690672	0.47838	1.028755254	1.132281503	0.787871268	2.268038852	0.70288	2.167737338	2.475945663	3.011578688	0.588486472	0.008338852	1.635557338
DEFA1	6.26910207	6.857628767	5.227974185	7.08229155	7.581364234	6.145322953	6.644273093	6.292381684	6.827627227	5.36735	4.54706	6.415456139	4.683490848	7.111986176	8.305958688	3.606935195	7.183456476	6.72802957	5.414698377	5.58499	6.493179649	6.14988	6.286993689	5.762308852	3.581981684	5.91781619	4.100994107	6.530378934	4.908707379	5.477413689	6.892236999	5.755258767	6.155396266	4.29151	7.048921268	5.910638767	6.175923093	5.879847499	6.349685195	5.55862	6.679113754	5.99148	6.611108688	4.544696476	5.005590581	7.807970581	7.012066139	6.462057227	6.62547155	4.972865663	5.867040672	7.191171905	4.841340848	4.948407338	6.394920593	5.51018	7.27427	5.810803348	7.074092759	5.772816176	7.087297379	6.04872207	6.179880581	6.941638934	5.350326346	6.58808314	5.554727379	6.065496476	4.631360848	3.64777147	6.113111733	5.206077227	5.498513093	6.316575735	6.01220147	6.323983349	5.977863754	6.910126176	6.445691905	5.450515663	3.757026999	5.78333	6.34423147	6.751625254	6.354901268	6.718513689	6.885960672	6.44362	4.874545254	5.800471503	6.551291268	6.622928852	6.13832	6.845027338	6.800715663	5.510168688	6.580646472	5.330888852	6.431317338
CD59	6.36388207	6.538008767	6.530024185	6.52030155	5.765134234	6.114532953	6.066613093	5.898211684	6.092817227	6.26621	6.29047	6.301066139	6.269230848	6.771976176	8.441998688	5.944935195	6.688796476	6.33352957	5.477068377	6.10073	6.522989649	6.16326	6.297213689	6.718268852	5.783621684	4.44604619	5.837684107	5.809528934	5.930607379	7.003793689	5.813696999	6.621318767	5.916456266	6.09252	6.164781268	6.102468767	6.540663093	5.294297499	6.162975195	5.9994	5.288793754	5.99438	6.296978688	5.933406476	5.906110581	5.448980581	5.874206139	5.523217227	6.12882155	5.883475663	5.899780672	5.909841905	6.022820848	6.283307338	5.650470593	5.34749	6.19032	6.040203348	6.122082759	6.119676176	5.994627379	5.38922207	6.208110581	5.769998934	5.869486346	5.82587314	6.771157379	5.946966476	6.221820848	6.14089147	6.515541733	6.010437227	5.995633093	6.171225735	5.94810147	6.688843349	5.693763754	5.363006176	5.903181905	5.999955663	5.806946999	6.21146	5.95673147	6.139685254	5.888101268	6.355323689	5.097000672	5.81034	6.149845254	5.676601503	6.140891268	5.976918852	6.01832	6.544117338	6.158545663	6.350598688	6.106186472	5.950318852	6.121977338
APOM	2.92940207	6.072718767	1.217844185	3.96045155	3.570534234	5.413522953	4.476113093	5.145171684	4.023787227	3.99848	4.63459	5.827696139	2.449490848	7.294176176	7.640268688	2.996675195	3.979196476	4.99829957	3.186678377	3.46903	6.441469649	6.6391	4.984343689	2.298628852	4.332081684	6.04254619	1.412154107	2.683218934	2.100717379	5.119263689	3.633086999	4.279048767	2.140166266	1.05629	5.059411268	6.026478767	4.079263093	2.474797499	3.849045195	3.22752	4.702743754	3.97357	4.250838688	2.350306476	4.419160581	4.073270581	3.394636139	2.758247227	4.13500155	5.165325663	2.860650672	3.942391905	3.440060848	4.793327338	2.724770593	1.79441	2.36121	3.433353348	4.806242759	4.464396176	5.377857379	2.73240207	2.961740581	3.039008934	4.875036346	4.72521314	4.591687379	3.957086476	1.413350848	2.98534147	4.048331733	2.836957227	2.518843093	6.026545735	3.40002147	5.865853349	5.918033754	4.803756176	4.281661905	3.738855663	1.429046999	4.05581	4.39993147	6.971105254	4.546101268	4.369963689	6.130920672	4.26363	2.533825254	5.769821503	2.796031268	4.237018852	4.056	6.824887338	5.616525663	7.282678688	3.402616472	4.046078852	3.174607338
OSMR	1.43388207	2.896888767	0.408794185	1.79904155	1.521154234	2.645022953	2.045623093	0.683561684	1.678457227	2.26908	1.14496	2.692756139	1.121610848	3.263286176	5.249098688	0.263845195	1.556416476	2.61157957	0.822648377	2.07301	1.862469649	2.65627	2.354973689	0.752358852	1.536381684	2.35552619	-0.167585893	1.746098934	0.0	1.566723689	0.112856999	1.816958767	1.335726266	0.20328	1.287151268	2.809778767	1.365943093	1.185667499	0.544875195	0.69918	0.471383754	1.83918	3.001098688	0.0	1.589790581	1.881670581	1.305466139	-0.100192773	1.82433155	1.281955663	0.551200672	0.777371905	0.490370848	1.879367338	0.722620593	0.1982	1.05139	0.870283348	2.022502759	2.137566176	1.798177379	1.51975207	1.365910581	-0.327201066	1.573826346	0.57572314	1.176117379	0.988346476	0.0	0.52404147	1.353861733	0.717067227	0.635093093	1.816355735	0.73238147	1.909413349	1.853863754	1.107136176	1.487751905	1.049455663	1.479656999	0.84715	1.56220147	2.677835254	1.557461268	1.484643689	1.435010672	1.61637	1.402395254	2.581791503	1.855791268	0.900028852	0.93311	3.474577338	2.396685663	3.415568688	1.348196472	1.724288852	1.665477338
LILRB2	7.59266207	8.754878767	7.455254185	8.90417155	9.248014234	10.21061295	11.09862309	9.079201684	8.341747227	8.28179	7.45093	10.40793614	8.984300848	9.724816176	12.38587869	8.501995195	8.314806476	10.36075957	10.58948838	8.21404	9.933729649	8.9117	10.08559369	8.852248852	7.527671684	9.85966619	8.657094107	9.022138934	7.671497379	7.955033689	8.911866999	8.190438767	9.758036266	7.19459	7.931771268	9.807878767	9.805763093	8.164947499	8.913055195	8.62076	9.344983754	7.77532	10.98153869	7.777376476	8.854690581	10.08882058	9.684526139	5.879337227	9.18034155	8.624895663	9.608910672	9.456331905	9.555810848	10.21605734	10.33726059	8.07159	9.50081	9.246653348	10.95131276	10.16581618	9.352197379	9.99095207	9.889700581	9.879878934	9.578456346	9.98418314	9.148037379	8.894636476	9.054960848	9.24715147	9.276931733	9.279547227	9.452163093	9.654795735	9.30529147	9.110473349	9.625313754	8.541766176	10.60336191	8.024375663	6.445616999	8.63033	10.04709147	9.653055254	9.857931268	9.563183689	9.794760672	5.37384	7.205525254	11.0352715	9.430611268	9.424598852	8.51379	10.51999734	9.855245663	10.85606869	9.438836472	9.529328852	9.485137338
UMOD	0.93583207	0.745068767	0.0	0.53643155	0.821094234	0.646062953	0.737493093	-0.069158316	0.362117227	0.35794	0.37436	0.427836139	0.270710848	1.608216176	2.963858688	-0.075854805	1.071866476	0.0	0.0	0.08509	1.021299649	0.51863	1.041743689	0.0	0.041101684	-0.05793381	0.0	-0.104051066	0.311807379	1.203323689	-0.412103001	0.676808767	-0.321703734	0.0	0.160651268	1.208348767	0.670893093	0.699827499	0.432185195	0.32052	-0.209426246	0.20462	0.790838688	-0.067183524	0.276910581	0.670390581	0.455236139	0.0	0.56188155	0.321155663	-0.022519328	0.0	0.0	0.549367338	0.0	0.0	0.00242	0.090213348	0.388222759	0.042976176	0.0	0.0	0.280360581	-0.045211066	0.487586346	0.05787314	0.988927379	-0.043073524	0.0	0.0	0.623561733	0.210967227	0.0	0.945205735	0.23417147	1.108173349	-0.128146246	0.0	0.046741905	0.108005663	-0.280643001	0.28936	0.78303147	1.663935254	0.148721268	0.134963689	0.628680672	0.26409	0.448415254	0.356981503	0.055431268	-0.047941148	0.0	1.119907338	0.648195663	1.354548688	0.009956472	-0.062661148	0.0
CCL18	11.77317207	10.81773877	11.78410419	10.21254155	10.18212423	10.65926295	9.984753093	9.762171684	11.27470723	10.41952	11.36139	9.852776139	11.20219085	11.28760618	11.47004869	10.74890519	12.36420648	10.80377957	9.641268377	11.00559	10.13740965	10.6256	10.65858369	11.28203885	10.68188168	10.01486619	10.56685411	10.19326893	11.41244738	12.45091369	10.192797	10.72342877	9.203756266	11.09687	10.67141127	10.65647877	11.45826309	10.4698375	9.668995195	10.65122	9.680143754	10.68869	9.886478688	11.11982648	11.20728058	10.68318058	10.30588614	10.86089723	11.28960155	10.10733566	11.03955067	9.928941905	10.89978085	10.48627734	9.886140593	11.20529	10.66418	10.49926335	10.60107276	9.868446176	10.79841738	10.52997207	10.83621058	9.829088934	10.45981635	10.51488314	10.62491738	10.64751648	11.22042085	10.33416147	11.52756173	9.777057227	10.59067309	9.604435735	9.73382147	11.26044335	10.39601375	10.80841618	9.825611905	11.06917566	10.638427	10.22565	10.09109147	10.34862525	9.878091268	10.93447369	9.869600672	11.24895	11.43214525	9.741361503	10.28164127	10.26537885	10.73676	10.34038734	9.630685663	10.77117869	10.33432647	9.515568852	10.15787734
COL18A1	8.33466207	7.099798767	7.881814185	8.25575155	8.265884234	7.478002953	7.977103093	7.594311684	7.829667227	7.65815	7.80068	7.720916139	7.671770848	8.531716176	10.14328869	7.836045195	8.769716476	7.56217957	7.553648377	6.94165	8.281379649	7.71118	7.903933689	8.502668852	7.347791684	7.23577619	7.782774107	7.159648934	8.235417379	8.904633689	7.585806999	8.027328767	7.427366266	7.91906	7.681641268	8.165058767	8.106863093	8.418257499	7.782865195	7.92444	7.425963754	7.78052	7.815808688	7.802996476	7.898290581	8.150410581	7.785216139	7.413617227	7.80082155	7.892365663	7.613320672	7.758421905	8.033390848	7.648817338	7.668470593	8.40801	8.50735	8.411513348	8.463702759	7.642066176	8.158517379	7.68271207	8.374210581	8.197998934	8.104746346	8.03462314	8.395227379	7.820706476	8.073250848	7.75767147	8.206751733	7.570727227	7.795983093	7.599395735	7.55278147	7.758423349	7.444543754	7.981626176	7.658471905	7.611525663	6.248706999	7.89064	7.09620147	8.487545254	7.392011268	7.493973689	7.899080672	7.84752	8.072485254	7.690311503	7.873081268	7.803188852	7.83921	8.255657338	7.719995663	7.418408688	7.717436472	7.143648852	7.761417338
LCN2	3.22643207	4.368968767	1.895344185	3.57149155	4.737704234	4.673052953	4.144633093	3.915291684	5.036227227	2.72658	1.9386	3.265286139	2.082200848	4.527456176	5.433468688	1.800625195	2.698206476	3.36467957	1.995848377	2.17216	3.867559649	2.90826	3.171833689	2.408488852	1.226511684	4.36273619	1.995924107	4.068068934	0.762977379	2.750843689	3.840766999	2.391208767	3.783586266	1.09869	3.518491268	3.380228767	2.989083093	3.124507499	2.879825195	2.04991	4.192673754	2.57364	4.121968688	2.062256476	1.625600581	4.568280581	4.331796139	1.585297227	3.02420155	1.888295663	1.986110672	4.125481905	1.759200848	2.270777338	3.743280593	2.3788	3.73433	2.531693348	4.605542759	2.897216176	3.608997379	2.83956207	2.323900581	3.846558934	2.210836346	3.37112314	2.395897379	1.840846476	1.182130848	0.45242147	2.707271733	1.217027227	1.903323093	4.376865735	2.47281147	2.653803349	4.504573754	4.319496176	4.506791905	1.753005663	0.849746999	2.23889	4.44760147	3.673165254	3.961741268	3.241353689	3.204950672	2.90958	0.622855254	3.066851503	4.829171268	3.758268852	2.39029	5.144837338	3.781235663	3.053648688	2.898156472	2.707808852	2.213907338
KIT	0.77817207	2.417668767	0.0	1.19809155	0.781514234	3.252962953	1.580123093	1.086371684	2.947257227	1.00728	1.64729	3.436876139	0.981680848	3.649676176	4.869478688	1.097975195	0.0	2.91555957	1.687088377	0.54394	1.127249649	2.48993	1.984943689	0.0	1.613101684	2.09816619	0.869644107	1.528018934	0.324907379	1.177463689	0.966806999	1.235578767	2.362056266	0.38834	1.179591268	3.504028767	1.352503093	0.485517499	1.011675195	1.19282	1.818243754	1.15717	2.992778688	0.905426476	1.615910581	1.894610581	1.728526139	0.0	1.65838155	2.104425663	0.0	0.720991905	1.173750848	2.771977338	1.467030593	0.18897	1.31332	1.364593348	1.802582759	2.311506176	1.127357379	1.54172207	1.217670581	0.808548934	2.259116346	1.08131314	2.037547379	1.142216476	1.111700848	1.69808147	2.675471733	0.876467227	1.288963093	2.206095735	1.44234147	2.268523349	2.196393754	0.0	2.404521905	0.376705663	-0.062733001	0.95269	1.19878147	1.970375254	1.692451268	0.677463689	2.110160672	1.28827	0.0	3.487501503	0.792881268	1.353808852	1.74051	2.361987338	2.168415663	3.207458688	0.910546472	1.749418852	1.427937338
C1QTNF1	9.20608207	9.829448767	8.550314185	7.98143155	7.897964234	9.951452953	9.120663093	7.884641684	7.821107227	8.97428	9.9388	8.616226139	9.092980848	10.49583618	11.18995869	9.615925195	8.130816476	9.96336957	9.005098377	8.44482	8.936809649	9.93342	9.159513689	9.122108852	8.807271684	9.38815619	8.484524107	9.509978934	8.039587379	9.792903689	7.932206999	8.957458767	8.488466266	7.88401	8.492671268	9.762688767	8.627493093	9.116967499	9.137925195	9.34423	8.557903754	8.68653	9.161158688	8.640876476	9.606900581	6.844630581	8.100896139	7.528907227	8.96227155	7.958535663	8.457980672	8.049961905	8.601820848	9.519397338	9.120590593	7.95216	8.29332	8.696143348	9.145922759	9.753636176	8.992337379	8.92821207	8.426540581	9.090258934	8.826856346	9.70647314	9.127247379	8.315456476	8.056420848	9.22683147	9.356821733	8.533667227	8.536983093	8.852975735	8.96219147	10.15724335	9.175883754	6.135036176	8.903401905	8.508715663	8.372446999	9.43113	7.84421147	8.417325254	8.349261268	9.450093689	7.156800672	4.95035	8.172115254	8.929181503	8.980911268	8.319168852	8.67923	10.06703734	9.628125663	9.844858688	8.429396472	9.121988852	8.950357338
AOC3	6.50200207	5.760608767	5.384114185	5.89930155	5.367364234	5.094022953	5.894263093	5.089101684	5.032427227	5.80522	5.56154	5.295196139	4.756120848	6.732976176	7.992568688	5.724755195	5.792006476	5.67194957	4.737408377	5.42352	5.987309649	5.11134	5.683943689	6.271638852	5.529291684	3.39575619	5.302734107	4.703418934	5.724567379	6.931123689	5.330356999	5.744648767	5.269606266	5.6857	5.592991268	6.059368767	5.241103093	5.941947499	5.357005195	5.78696	5.220123754	5.84268	5.681158688	5.552946476	5.905450581	4.373920581	5.571206139	5.302147227	5.87633155	5.821975663	5.456390672	5.522851905	5.262660848	5.327537338	5.159860593	5.86503	5.91621	5.660003348	6.158182759	5.051756176	5.335067379	5.50301207	6.187130581	5.675068934	6.075176346	5.46275314	5.972537379	5.566976476	5.830820848	5.34258147	5.888671733	5.127317227	5.671193093	5.358295735	4.87366147	6.147553349	4.602853754	4.139466176	5.478271905	5.219275663	4.131956999	5.50084	4.63664147	6.146515254	5.227651268	5.591103689	4.399600672	5.24792	5.817915254	4.825871503	5.659611268	5.506908852	5.47034	5.410847338	5.244905663	5.184528688	5.542356472	4.529178852	5.371907338
GAS6	12.40460207	12.13420877	12.89943419	12.93794155	10.46585423	11.43460295	12.30539309	11.97797168	9.198787227	12.16954	7.93865	10.27133614	11.69931085	12.47372618	14.46158869	11.83652519	12.87311648	11.85004957	9.707058377	11.58578	12.64185965	11.98437	11.59652369	12.91642885	10.03967168	11.01873619	8.397774107	9.734038934	11.79877738	13.51376369	8.179436999	12.57700877	9.693556266	12.21041	11.92077127	11.17465877	11.86504309	12.4341775	12.12593519	12.1959	9.755383754	12.21242	11.68396869	10.75462648	12.51134058	9.100050581	9.179666139	10.94766723	11.77772155	12.14982566	12.31306067	8.602531905	11.34287085	11.72776734	11.65851059	12.71791	9.87833	12.11657335	11.19806276	12.44807618	13.10705738	9.17935207	13.11928058	10.08944893	12.44811635	11.47938314	12.70950738	12.13124648	11.70247085	10.99402147	10.38355173	11.97452723	11.96917309	12.34630574	10.99058147	12.85652335	10.99294375	8.405366176	10.68112191	11.98412566	8.477096999	12.48219	8.65544147	12.70826525	10.22146127	12.00876369	8.768130672	9.7532	12.51303525	11.3225215	12.04263127	9.374498852	12.39677	12.29677734	12.28035566	11.43556869	11.03591647	9.866488852	12.22924734
IGLC2	7.57804207	7.810078767	6.446274185	7.49179155	7.555564234	6.856702953	7.229093093	6.716591684	6.379777227	7.15066	7.08011	7.330516139	6.910000848	7.930166176	9.337848688	7.043405195	7.667426476	7.56440957	6.924048377	6.63911	7.444289649	7.16568	7.250053689	6.906898852	6.556901684	7.13137619	6.949584107	6.570248934	6.311587379	7.427903689	6.547776999	7.123428767	6.855206266	6.34954	7.083201268	7.450508767	7.264523093	6.986647499	7.175635195	6.86966	6.689353754	7.21009	7.335388688	7.013966476	7.215440581	7.360680581	6.975126139	6.772657227	6.96868155	7.015975663	6.876890672	6.938851905	7.223750848	6.978517338	6.787420593	6.72485	6.74761	6.661763348	7.374452759	7.173116176	7.255727379	6.43548207	7.570420581	6.917138934	7.127686346	6.97755314	7.723257379	6.471956476	6.981140848	6.96316147	7.046151733	7.058947227	6.816453093	7.027765735	7.06045147	7.428873349	6.925723754	6.966496176	7.082491905	6.901285663	5.005146999	7.21271	7.00330147	7.641325254	6.906951268	7.202023689	7.227780672	7.09786	6.764275254	6.762851503	6.973341268	6.954298852	7.06034	7.523727338	7.404585663	7.499008688	7.192756472	7.254088852	7.384647338
TNXB	5.82761207	6.255098767	5.120834185	4.83812155	4.068354234	5.551212953	5.407423093	4.319541684	5.555357227	5.66924	5.11833	5.649526139	5.140500848	6.761616176	7.475458688	4.687595195	5.850816476	6.01895957	4.641998377	5.64872	5.396459649	5.58147	5.200183689	5.521688852	4.567701684	5.40642619	4.089904107	5.129088934	3.673817379	6.504713689	4.390146999	4.895688767	4.176326266	4.13503	4.759841268	5.484608767	5.531953093	4.271897499	4.653495195	5.18151	4.338513754	5.21979	5.504428688	2.463336476	5.046050581	3.252770581	4.008676139	2.875297227	5.29747155	5.617295663	4.666440672	3.639571905	4.079960848	5.357687338	4.874820593	3.72828	4.41141	5.030913348	5.398712759	5.280766176	5.176047379	4.65412207	5.235350581	3.852248934	5.172076346	4.49932314	5.875387379	4.930846476	4.729760848	5.65246147	5.564021733	5.061667227	4.827383093	5.211955735	5.14004147	6.578063349	5.321043754	3.858406176	5.257651905	5.114585663	5.352546999	5.66923	3.71377147	5.333455254	5.349911268	5.162993689	3.514350672	3.07418	5.226065254	5.601321503	5.012341268	4.254878852	4.98497	5.651887338	5.451475663	5.667548688	5.034646472	5.319058852	5.236597338
MFAP5	5.85839207	6.996768767	4.592394185	6.72027155	4.286454234	7.064582953	5.687893093	5.167901684	4.582227227	6.75687	6.79952	6.891236139	5.519380848	7.897006176	8.857418688	6.931625195	5.728116476	7.65194957	7.037628377	5.4674	6.281909649	6.89998	6.945963689	5.749508852	6.274821684	6.74196619	5.893294107	6.474898934	4.090447379	6.976833689	5.911736999	6.450428767	3.036486266	4.03371	6.128291268	6.849168767	6.769563093	6.047787499	6.298975195	5.9124	5.487673754	6.43319	7.153038688	4.774296476	5.605260581	4.841470581	3.758596139	4.481047227	5.96489155	6.685645663	5.642010672	5.702721905	6.610130848	7.048497338	6.262890593	4.77991	5.23413	5.660543348	6.226412759	6.675256176	6.090917379	5.35939207	6.380240581	4.876358934	5.776556346	6.50411314	7.208727379	5.676286476	6.634830848	6.82842147	6.172611733	6.397837227	4.884003093	6.404025735	5.99970147	7.976303349	6.062623754	4.651596176	6.794211905	5.153285663	4.812726999	6.78623	5.28768147	6.215245254	6.129281268	5.819253689	6.646230672	2.99711	5.154905254	4.705431503	5.593291268	5.698088852	5.79427	5.486607338	7.065185663	7.844818688	6.208476472	6.141318852	5.720717338
VASN	2.64228207	4.762538767	0.912374185	2.65018155	2.028914234	4.173232953	2.394313093	1.474081684	2.678137227	1.94324	3.30051	3.595026139	1.818690848	4.250546176	5.882598688	2.048445195	1.427236476	4.42584957	1.433908377	2.4262	2.404459649	4.19814	3.418083689	1.374278852	3.725081684	1.77660619	1.440514107	2.276868934	0.771367379	2.603313689	1.834396999	2.135658767	1.522756266	0.6653	1.927391268	4.288728767	1.294403093	1.497627499	2.091665195	1.69489	1.690873754	2.03476	4.137728688	0.855676476	2.176780581	2.310730581	1.509706139	0.213447227	2.28213155	1.993065663	1.619060672	1.405081905	1.871280848	3.031487338	1.559320593	1.06021	0.873	1.021233348	1.917762759	3.280596176	1.717467379	0.81282207	1.381740581	1.419598934	2.699966346	2.21565314	2.900877379	1.369586476	0.939310848	1.76832147	2.078851733	2.011707227	1.496213093	2.391475735	2.15475147	3.050893349	2.312253754	0.424146176	2.513651905	1.146205663	0.621436999	1.54997	1.43904147	3.322725254	1.542371268	1.321013689	3.148880672	1.96734	0.894685254	2.947301503	2.512971268	2.637768852	1.26859	3.617797338	3.310485663	5.356678688	1.286766472	2.578098852	1.947787338
