	N120B	N123B	N124B	N126B	N130B	N131B	N138B	N140B	N144B	N146B	N148B	N149B	N150B	N151B	N152B	N153B	N155B	N158B	N160B	N161B	N163B	N164B	N165B	N166B	N169B	N171B	N172B	N176B	N178B	N179B	N182B	N185B	N186B	N187B	N188B	N189B	N192B	N193B	N195B	N197B	N198B	N199B	N200B	N202B	N203B	N205B	N210B	N212B	N214B	N215B	N216B	N217B	N218B	N221B	N222B	N224B	N226B	N228B	N229B	N232B	N233B	N234B	N235B	N238B	N239B	N240B	N242B	N243B	N245B	N246B	N247B	N248B	N250B	N254B	N255B	N256B	N259B	N261B	N265B	N267B	N268B	N269B	N270B	N153AB
TTHY	6.334496768	6.068240861	7.076815597	5.757556689	6.121015401	7.462706751	5.981852653	6.685099172	6.845490051	6.912889336	6.851749041	6.221103725	6.961160258	5.429615964	6.626439137	6.842978832	8.222553427	7.06501215	5.885086225	5.786596362	6.392317423	7.381110294	6.64096791	6.578938713	5.632268215	5.412781525	6.586464526	6.87282876	6.100136671	5.842978832	6.249824549	5.125155131	6.01346226	5.593951284	6.301953395	7.487840034	5.0	6.510961919	5.776103988	4.87282876	6.936637939	5.799605422	6.936637939	5.974988112	4.963474124	6.121015401	6.357552005	4.738767837	5.608809243	6.209453366	6.106432078	5.539158811	7.346070441	7.080018029	6.483815777	5.988684687	7.215290306	5.439623138	6.531381461	7.190812368	6.6043679	6.145677455	6.289096702	6.257387843	6.651051691	5.882643049	6.224966365	4.738767837	6.75087444	6.622051819	6.061776198	6.323730338	6.793115555	6.244125943	7.233619677	6.632268215	7.23457796	6.020146573	6.350497247	5.270528942	5.773468928	5.596935142	5.961160258	6.498250868
VTDB	6.255500733	6.100136671	6.395748328	5.894817763	6.369815424	7.700439718	6.58345891	7.040015679	7.007868243	6.38024459	6.029011087	6.708739041	5.947198584	5.605849867	6.753551055	6.14363831	6.390598906	8.290018847	6.343407822	5.64096791	7.483815777	7.155830172	5.857980995	5.5360529	4.832890014	5.48864354	7.055282436	6.562242424	6.175923742	5.10433666	6.312882955	5.48864354	5.9795681	5.569855608	6.434628228	6.9795681	5.757556689	6.06608919	5.683696454	5.997744026	6.608809243	5.776103988	6.619119511	5.875288598	5.865423978	6.419538892	6.412781525	5.236492618	6.636624621	6.402585758	6.429615964	5.652486495	7.584962501	6.887525271	5.8899602	6.270528942	6.686500527	4.857980995	6.163901214	6.238404739	6.21916852	6.213347282	6.447909749	5.666756592	7.377644358	6.309248961	6.503030646	4.529820947	6.809928866	6.338067798	5.94016675	5.832890014	7.037821465	6.733354341	6.568336182	6.834154981	6.490249211	5.786596362	5.572889668	5.244125943	5.993221467	5.121015401	5.947198584	5.321928095
PROC	8.54341855	4.193771743	6.06608919	6.5360529	5.40599236	6.822033672	6.517275693	5.726822771	6.517275693	9.036448385	5.201633861	5.439623138	7.613236955	5.368069877	5.343407822	7.208478242	6.665335917	5.590961241	7.784634846	4.925999419	7.171927354	5.608809243	4.887525271	3.336283388	8.565292521	7.530601415	8.364572432	6.795715007	8.386293635	5.292781749	5.700439718	4.314696526	5.791814071	4.393176287	6.947198584	5.87282876	4.791814071	6.510961919	6.12722055	4.371558863	5.532940288	7.470048726	5.757556689	4.307428525	3.419538892	6.024585638	7.460251099	3.797012978	4.482831436	4.977279923	4.837943242	3.836820507	6.098032083	6.831623937	3.378511623	7.648177796	7.043300754	4.371558863	6.161887682	3.857980995	7.011227255	6.75087444	5.867896464	7.694880193	6.205548911	3.935459748	8.622783966	5.719731057	5.746850183	6.238404739	4.727920455	7.632995197	7.886915896	6.354028938	6.48058827	6.62497818	5.087462841	4.807354922	7.964629667	4.017921908	3.017921908	3.887525271	6.226893814	5.329123596
PROS	7.221103725	6.226893814	6.175923742	5.498250868	7.565292521	8.411934625	6.277984747	5.961160258	6.551516018	7.002252452	6.578938713	5.545350645	7.655351829	5.09592442	6.287250643	6.181897643	6.599912842	6.371558863	6.87036472	4.837943242	6.300123725	6.355791547	7.270528942	6.556122818	6.121015401	5.638073837	6.642412773	6.783980414	7.293701542	5.727920455	6.378511623	5.560714954	6.068240861	5.205548911	6.498250868	6.722466024	5.169925001	6.83541884	5.746850183	6.171927354	6.173926932	5.897240426	6.575917361	4.672425342	4.921245889	6.531381461	5.781359714	4.797012978	6.004501392	6.749534268	5.87774425	5.491853096	7.043300754	6.886306263	5.783980414	6.240314329	6.366322214	5.495055528	5.274261661	6.741466986	6.87282876	5.95419631	6.110613806	7.133399125	6.568336182	6.100136671	6.951867504	5.357552005	7.736063628	7.643134662	6.529820947	7.011227255	6.51412226	6.163901214	6.960001932	6.499845887	8.965495717	7.593951284	7.197708158	4.744161096	5.244125943	5.402585758	5.578938713	6.03562391
CO1A1	7.117902789	6.031218731	5.638073837	7.235535607	3.655351829	5.672425342	7.205548911	5.984133595	6.676662335	6.984133595	7.618385502	5.956521363	5.786596362	5.827819025	6.749534268	6.942514505	6.12722055	6.307428525	6.982993575	7.662490364	5.197708158	5.62935662	6.646738698	6.465974465	6.376776572	6.608809243	6.923624611	6.549977143	7.958842675	5.749534268	7.268658955	7.145677455	6.085339669	4.995484519	6.827819025	7.034523875	7.415319248	5.799605422	8.290940402	6.175923742	5.539158811	5.904484098	6.73470962	7.381975479	5.744161096	6.642412773	6.346956889	6.614709844	6.14363831	5.875288598	6.339850003	5.185866545	6.417852515	6.129283017	5.911691582	7.787902559	5.942514505	7.330916878	7.007868243	6.882643049	5.416164165	7.911691582	6.289096702	8.585713709	6.590961241	5.361066489	7.790511412	4.689299161	5.66106548	4.867896464	6.131342539	6.48864354	7.920650595	7.891176125	7.022367813	5.778734244	4.329123596	6.622051819	7.554588852	6.87897051	7.276124405	6.652486495	5.937815169	7.258330473
CO2A1	7.783325685	5.984133595	6.002252452	6.898450233	3.263034406	5.783980414	7.310158318	5.539158811	6.992088609	6.831623937	6.745506266	5.754887502	5.526694846	5.354028938	6.778734244	7.137503524	6.638073837	6.906890596	7.246027981	8.092228584	5.578938713	5.725195817	6.112700133	6.207502459	6.276124405	6.850499414	7.368069877	6.718361626	8.192785959	5.840463234	7.509379149	7.54689446	6.740118043	4.897240426	6.350497247	7.703903573	7.277054876	5.40599236	8.117902789	5.95419631	5.498250868	6.061776198	6.296457407	7.663202279	5.375039431	6.48058827	6.548436625	6.14363831	6.427941333	6.343407822	6.58044702	4.529820947	6.211401637	6.649615459	5.972692654	8.185371029	5.498250868	7.096978636	7.434628228	6.526694846	5.482202926	8.313336562	6.387155718	9.139807127	6.966937979	4.977279923	7.873444113	5.375039431	5.827819025	5.526694846	6.719731057	6.447909749	7.783980414	8.225448469	7.166916252	5.741466986	5.165911939	6.566815154	7.113742166	6.834154981	7.355791547	6.529820947	5.809928866	6.937815169
CO3A1	7.378511623	6.279842694	5.809928866	6.707359132	3.0	5.762880293	7.186857067	6.387155718	6.791814071	6.741466986	7.699745948	5.314696526	6.03562391	5.786596362	6.62058641	5.918863237	5.809928866	6.246027981	7.200653436	6.966937979	4.596935142	5.321928095	5.590961241	6.329123596	6.371558863	5.529820947	6.996614715	6.504620392	8.468420402	5.244125943	7.698357406	5.426264755	6.703211467	4.738767837	7.067165427	7.888743249	6.682292371	5.465974465	8.031218731	5.977279923	5.137503524	6.177917792	5.82527683	7.105384749	5.822730148	6.346956889	6.636624621	7.156841525	6.548436625	5.797012978	7.283551423	5.125155131	6.09592442	5.584962501	5.64385619	7.855491443	5.947198584	7.741466986	6.534497434	6.320123598	5.566815154	8.15936681	5.285402219	7.8008999	6.693486957	5.053111336	8.144658243	4.977279923	5.129283017	3.722466024	6.368069877	6.708739041	8.199672345	8.481395824	7.254556252	5.87036472	4.129283017	6.022367813	7.871597266	7.876516947	7.643134662	7.54689446	6.578938713	7.623515741
CO4A1	6.74819285	6.665335917	7.191799501	7.431288654	4.09592442	5.602884409	6.847996907	6.251719093	5.791814071	5.933100475	6.0	6.38024459	6.701826258	5.815063017	5.965784285	6.794415866	6.977279923	6.076815597	6.531381461	6.790511412	6.026800059	5.285402219	5.274261661	8.13442632	6.352264173	7.023477152	7.349612972	5.719731057	5.847996907	7.965784285	6.268658955	6.686500527	6.87036472	7.912889336	6.827819025	6.381975479	5.820178962	6.587964989	6.091699834	7.021257621	6.92243574	7.699051844	6.862947248	6.50779464	6.619119511	7.790511412	7.162894799	5.850499414	4.776103988	5.548436625	6.802193217	5.708739041	6.844234988	6.029011087	7.317412614	6.116863758	6.765534746	7.0	7.513332824	4.94016675	6.708739041	6.110613806	6.809928866	5.961160258	6.339850003	6.359310317	8.744497506	7.985272714	4.584962501	4.285402219	6.520422249	6.114783447	7.736740155	7.209453366	5.87774425	6.464341533	4.459431619	6.249824549	6.95419631	7.082149041	6.83541884	7.254556252	6.309248961	6.28169825
CO5A1	6.483815777	7.338959175	5.64096791	6.680886921	4.145677455	4.87774425	7.191799501	6.598424761	7.044394119	6.846744023	6.793115555	6.110613806	5.587964989	5.730639956	6.173926932	7.628627802	6.215290306	6.571373436	6.368069877	8.17990909	7.328226119	6.076815597	6.517275693	6.169925001	6.264911693	7.41869595	7.076815597	6.325530332	7.164906927	6.369815424	6.509379149	7.398316163	6.28169825	5.232660757	6.294620749	6.253611152	6.004501392	6.495055528	7.499048598	7.481395824	6.994353437	6.461070114	7.235535607	7.164906927	5.968090752	7.024585638	6.571373436	6.263034406	6.268658955	5.897240426	6.289096702	4.963474124	6.063934306	6.887525271	5.736063628	7.421223299	6.817623258	6.485426827	7.511752654	7.474111514	5.596935142	7.676662335	7.117902789	8.83320636	6.998872454	6.266786541	7.037821465	5.416164165	7.278914019	6.055282436	6.626439137	6.565292521	7.369815424	7.708049252	6.565292521	6.029011087	4.802193217	6.44625623	6.795715007	6.553053253	6.874059203	5.963474124	4.906890596	6.655351829
CO6A1	6.61176256	8.334943631	4.722466024	8.527867927	4.862947248	4.807354922	6.23457796	5.638073837	6.54225805	7.659639187	6.6395216	6.95419631	6.419538892	6.947198584	6.523561956	6.429615964	5.970393538	5.217230716	4.944858446	6.744161096	7.01346226	5.744161096	5.830356747	6.696272084	6.655351829	6.721099189	5.590961241	5.906890596	6.857980995	6.464341533	6.554588852	6.927185358	5.332707934	5.153805336	6.159871337	6.203592714	7.410239331	6.669593751	7.321026129	6.675251386	6.478971805	6.685099172	6.118941073	7.175923742	7.253611152	6.902073579	7.069315495	6.589463893	6.259272487	6.964629667	6.017921908	6.175923742	7.056366761	6.249824549	5.830356747	7.218199944	5.705977902	5.909293086	6.224966365	5.937815169	7.566815154	6.350497247	6.14974712	6.336283388	6.682292371	5.529820947	6.485426827	5.129283017	6.703211467	4.852997588	6.852997588	6.827819025	6.121015401	7.188836073	7.44625623	6.900866808	5.078951341	4.64385619	5.498250868	6.226893814	7.331812684	4.977279923	5.22881869	7.203592714
CO8A1	6.736063628	6.700439718	7.080018029	7.10433666	4.232660757	4.672425342	7.00337736	6.705977902	6.290940402	7.207502459	7.189824559	6.191799501	6.17990909	4.837943242	6.03562391	5.722466024	6.044394119	5.596935142	7.716990894	6.849248703	6.173926932	5.532940288	6.933100475	7.21042783	7.216260837	7.245077275	6.752213368	5.762880293	6.842978832	7.807354922	6.716990894	5.205548911	6.947198584	7.95942242	6.312882955	6.917670434	5.83541884	5.937815169	6.866660751	7.088523257	7.615445725	7.170926525	6.985272714	6.752213368	5.951867504	7.487840034	8.478162893	6.314696526	5.741466986	6.407692649	6.320123598	6.207502459	6.483815777	5.809928866	7.519636253	6.253611152	7.056366761	7.246027981	7.482202926	6.21916852	7.067165427	6.87774425	7.205548911	4.95419631	7.163901214	7.074676686	7.628627802	6.312882955	5.419538892	3.350497247	6.557655155	6.478971805	7.877130729	6.985272714	5.554588852	6.002252452	6.061776198	5.465974465	8.060695932	6.972692654	6.447909749	7.603626345	5.599912842	7.502235115
COBA1	5.587964989	6.531381461	5.887525271	5.961160258	4.201633861	5.198720671	6.074676686	6.366719018	7.556122818	5.733354341	7.053111336	4.485426827	5.251719093	4.87282876	6.753551055	6.9795681	5.332707934	5.736063628	4.608809243	7.282625134	7.277054876	7.045486656	4.385431037	4.777321741	6.523561956	6.346956889	8.328226119	4.822730148	6.930737338	3.0	6.553053253	6.017921908	5.022367813	4.733764826	6.272396509	6.417852515	3.336283388	4.972692654	7.130313146	6.961160258	6.181897643	6.512542955	4.087462841	5.897240426	3.510961919	5.783980414	5.300123725	2.655351829	5.902706876	6.76420813	5.491853096	4.417182946	6.51412226	6.121015401	5.432959407	8.439207555	5.608809243	4.247927513	7.395748328	8.737416366	5.83541884	7.263973355	8.237448996	11.34834088	7.584210901	4.921245889	7.158862106	4.412781525	7.875288598	6.539158811	6.044394119	5.916476644	4.716990894	5.744161096	7.032321287	5.902073579	5.10433666	3.378511623	5.906890596	5.526694846	6.007599658	5.346956889	5.422905743	5.189824559
COCA1	6.653919873	6.399171094	4.949534933	6.93191939	5.368069877	6.395748328	6.623515741	6.568336182	7.09592442	6.510961919	5.820178962	7.309248961	6.123086751	6.185866545	6.651051691	7.277054876	7.030115331	6.469234794	6.325530332	6.822730148	6.988684687	5.655351829	6.240314329	7.859845344	6.540709263	7.398316163	6.847996907	6.259272487	6.375039431	7.139551352	7.197708158	5.741466986	6.309248961	6.539158811	6.886306263	5.925999419	5.439623138	6.787902559	7.208478242	6.671010241	7.198690586	7.21042783	7.663913842	6.478971805	6.723831566	8.682994584	6.560714954	6.011227255	6.303780748	6.414473836	5.66106548	6.221103725	7.382840144	6.397460726	7.007868243	7.260213887	7.349612972	5.022367813	7.410239331	7.105384749	6.866660751	5.977279923	7.831623937	8.991238381	6.958842675	6.230741003	6.733354341	5.566815154	6.165911939	5.827819025	6.563768278	6.749534268	5.797012978	6.171927354	6.187846909	6.323730338	4.832890014	6.161887682	6.656782364	6.169925001	6.861707287	6.454504938	5.346956889	6.837943242
COEA1	6.662490364	6.151777655	7.650333754	6.886306263	5.108524457	6.078951341	6.330916878	6.114783447	5.860466259	8.063934306	6.207502459	8.019590728	6.167919866	6.888743249	5.789207575	6.249824549	5.827819025	5.416164165	6.943686952	6.856736756	5.485426827	5.786596362	6.882643049	7.510170751	7.282625134	7.659639187	5.217230716	5.523561956	5.517275693	7.947783026	6.862947248	6.855491443	6.842978832	7.40599236	6.452858965	6.442943496	8.314243347	7.158862106	6.575917361	7.138527801	7.614709844	7.260213887	7.044394119	7.46760555	8.414473836	7.06608919	6.875288598	6.836681593	5.942514505	8.021812824	6.518849829	7.160879862	6.656782364	6.078951341	7.481395824	6.197708158	6.320123598	6.995484519	6.444600814	6.311067102	6.689299161	5.842978832	6.369815424	5.070389328	6.157852169	7.449561375	5.817623258	7.171927354	5.658211483	4.781359714	7.249824549	7.206526016	6.287250643	6.409390936	6.343407822	5.850499414	4.935459748	6.137503524	7.318316841	6.892391026	6.518849829	7.040015679	6.129283017	7.818901676
COFA1	6.971543554	7.238404739	4.716990894	6.303780748	3.797012978	6.837943242	6.54225805	7.590212761	6.888743249	5.791814071	6.022367813	6.897240426	6.464341533	6.95070169	6.663913842	6.856736756	6.114783447	7.23457796	6.159871337	6.87036472	6.053111336	7.378511623	5.94016675	6.812498225	6.958842675	6.404290064	6.011227255	6.704595348	6.719731057	6.364572432	6.057450272	7.272396509	7.644577357	5.812498225	6.912889336	6.055282436	6.749534268	5.942514505	6.475733431	7.238404739	6.855491443	7.139551352	7.14363831	7.554588852	7.873444113	7.304693557	6.957682486	6.928370323	6.707359132	6.395748328	7.085339669	6.861707287	6.646738698	6.289096702	6.185866545	6.66106548	5.614709844	6.167919866	6.510961919	6.482202926	6.298291731	6.626439137	6.662490364	5.292781749	6.799605422	6.943686952	6.153805336	6.515699838	6.559185866	4.432959407	7.30103885	6.520422249	5.548436625	7.70528679	6.139551352	6.595443985	6.472487771	7.475733431	5.812498225	6.651051691	6.977279923	6.193771743	5.867896464	6.669593751
COGA1	7.298291731	6.314696526	7.518849829	6.820178962	3.560714954	5.548436625	6.963474124	5.491853096	5.689299161	7.8899602	6.320123598	6.061776198	5.892391026	5.083213368	5.161887682	5.321928095	6.224966365	6.244125943	6.815063017	8.015693807	5.789207575	6.163901214	7.148730779	7.038918989	7.399171094	7.0725346	7.902073579	5.125155131	7.473299871	8.011786331	7.022367813	7.11997861	6.716990894	8.570614722	6.277984747	7.301953395	5.855491443	6.912889336	6.375039431	6.87282876	7.884475819	7.067165427	6.294620749	6.62058641	6.757556689	7.728600811	8.233140296	6.861707287	5.83541884	6.116863758	6.6794801	5.672425342	6.904484098	6.151777655	5.783980414	6.951867504	6.593951284	6.898450233	7.075746538	5.632268215	6.74819285	6.708739041	6.54689446	5.087462841	6.399171094	6.411087227	7.393175914	7.473299871	5.789207575	1.485426827	7.118941073	6.680886921	7.60659028	7.516487981	6.496654083	5.794415866	4.378511623	6.147713722	7.540709263	6.719731057	6.761551232	7.198690586	6.177917792	7.00337736
COIA1	7.698357406	6.397460726	8.25313837	6.766860144	4.112700133	6.290940402	6.50779464	6.392317423	5.62058641	6.359310317	5.346956889	7.624247146	6.287250643	7.843607046	5.94016675	6.76420813	6.590961241	5.566815154	6.897240426	7.678776174	4.797012978	6.461070114	5.935459748	7.662490364	7.803485376	7.551516018	6.108524457	7.185866545	5.605849867	8.023477152	6.785288981	7.399171094	7.212374788	8.229780167	6.613236955	5.321928095	7.262094845	7.34251919	6.30560579	7.299208018	6.809928866	7.555356039	7.417852515	6.687900522	9.247452865	7.144658243	7.290018847	6.887525271	6.407692649	5.741466986	6.804776378	7.099084761	6.059614856	6.574404309	7.651769271	6.330916878	7.438791853	7.742140985	6.412781525	6.098032083	5.727920455	5.832890014	6.794415866	5.121015401	6.338067798	6.866660751	6.300123725	9.221587121	4.986410935	5.325530332	7.354028938	6.845490051	8.019590728	7.479780264	6.279842694	6.151777655	4.626439137	7.723831566	6.710117632	7.449561375	6.599912842	7.675957033	7.030115331	7.204571144
COLA1	8.355351096	6.139551352	6.48703608	7.192785959	4.87774425	6.244125943	7.362820526	6.232660757	6.596935142	7.168922782	6.795715007	6.74281467	6.081083929	6.357552005	6.279842694	6.572889668	6.123086751	6.037821465	6.92243574	7.717676423	6.040015679	5.402585758	5.646738698	7.422905743	6.655351829	6.651051691	7.432124273	6.274261661	8.027353134	6.874059203	7.824004051	5.523561956	6.711494907	7.06501215	6.646738698	6.802193217	6.089582893	7.182890893	7.29553937	6.14363831	6.75087444	7.075746538	6.899659026	7.06501215	6.368069877	7.829088444	6.762880293	6.731997787	6.416164165	6.893604905	6.993221467	6.0	6.279842694	5.995484519	7.161887682	7.859224162	6.48058827	6.617651119	7.458611673	5.840463234	6.607330314	7.87958325	6.756222713	5.485426827	7.031218731	6.189824559	7.986410935	6.549977143	5.933100475	6.063934306	7.184875343	7.110613806	7.920650595	7.593951284	6.54689446	6.251719093	5.263034406	6.416164165	7.118941073	7.357552005	6.906890596	7.332707934	6.553053253	7.671717965
CO1A2	7.209453366	6.416164165	5.82527683	7.125155131	3.837943242	5.554588852	7.176921112	6.022367813	6.562242424	7.41869595	7.076815597	6.213347282	5.663913842	6.029011087	6.719731057	7.098032083	6.189824559	6.23457796	6.86913112	8.148730779	5.937815169	5.575917361	6.419538892	6.247927513	6.602884409	6.917670434	7.189824559	6.590961241	7.909293086	6.362820526	7.189824559	7.44625623	6.224966365	5.478971805	6.671010241	6.834154981	7.224001674	6.14363831	8.016251155	6.652486495	6.424586226	6.211401637	6.783980414	7.454504938	5.965784285	6.984133595	6.668175869	6.553053253	6.240314329	6.070389328	6.292781749	5.311067102	6.276124405	6.139551352	5.786596362	8.112700133	6.110613806	6.911691582	7.271463028	6.741466986	5.602884409	7.94016675	6.504620392	8.501040996	6.696272084	5.64096791	7.682994584	5.300123725	6.055282436	4.958842675	6.537606691	6.525129251	7.899659026	7.920055055	6.933100475	5.783980414	4.523561956	6.23457796	7.259272487	6.87282876	7.262094845	6.464341533	5.804776378	7.192785959
CO4A2	6.98982022	6.515699838	7.236492618	7.398316163	4.827819025	5.762880293	6.847996907	6.301953395	5.958842675	6.118941073	6.017921908	6.64096791	6.575917361	6.175923742	6.199672345	6.738767837	7.029011087	6.298291731	6.61176256	7.06501215	5.765534746	5.485426827	5.523561956	7.8008999	6.662490364	6.756222713	7.09592442	6.48703608	6.261154673	7.665335917	6.296457407	6.474111514	6.857980995	7.602884409	6.721099189	6.447909749	5.970393538	6.658211483	6.276124405	6.984133595	6.861707287	7.416164165	7.0	6.554588852	6.803485376	7.645298164	7.069315495	5.802193217	5.350497247	5.675251386	6.794415866	5.968090752	6.75087444	6.037821465	7.178913785	5.993221467	6.95070169	6.971543554	7.256444596	5.307428525	6.652486495	6.619119511	6.658211483	5.963474124	6.300123725	6.303780748	8.324630615	7.964629667	4.812498225	4.392317423	6.671010241	6.23457796	8.100136671	7.646738698	6.076815597	6.472487771	6.081083929	6.437960088	6.957682486	7.152791852	6.818901676	7.256444596	6.171927354	6.754887502
CO5A2	6.972692654	7.314696526	5.381975479	6.686500527	5.078951341	4.817623258	7.046578367	6.572889668	7.068240861	6.943686952	6.992088609	5.95419631	5.584962501	5.925999419	6.046578367	7.796364138	6.091699834	6.43629512	6.330916878	8.097505456	7.161887682	6.087462841	6.431288654	6.06608919	6.23457796	7.38024459	7.643134662	6.224966365	7.186857067	6.318316841	6.614709844	7.51412226	6.199672345	5.161887682	6.307428525	6.015693807	6.011227255	6.539158811	7.532940288	7.424586226	7.086401646	6.551516018	7.231701199	7.01346226	5.974988112	7.14363831	6.786596362	6.371558863	6.177917792	6.093813673	6.221103725	5.129283017	6.108524457	6.787902559	5.587964989	7.753551055	6.668175869	6.375039431	7.561478892	7.503030646	5.754887502	7.491853096	7.40173285	9.266318057	6.966937979	6.171927354	7.243173983	5.462706751	7.023477152	5.958842675	6.595443985	6.563768278	7.270528942	7.729960561	6.50779464	5.972692654	4.716990894	6.199672345	6.834154981	6.574404309	6.883865155	5.947198584	4.935459748	6.781359714
CO6A2	6.809928866	8.385862401	5.224966365	8.570235215	4.95419631	4.87774425	6.129283017	5.51412226	6.62497818	7.727239777	6.846744023	6.956521363	6.62935662	6.887525271	6.23457796	6.465974465	6.022367813	5.169925001	5.209453366	6.914086097	7.025693274	5.765534746	5.66106548	6.802193217	6.630813152	6.812498225	5.837943242	6.0725346	6.988684687	6.407692649	6.608809243	7.090641752	5.318316841	5.141596278	6.061776198	6.076815597	7.409390936	6.491853096	7.435461914	6.563768278	6.663913842	6.769507291	6.112700133	7.214319121	7.263973355	6.893604905	7.080018029	6.744161096	6.189824559	7.096978636	6.074676686	6.185866545	7.060695932	6.397460726	5.87282876	7.154818109	5.727920455	6.068240861	6.472487771	5.930737338	7.535275377	6.529820947	6.325530332	6.314696526	6.675251386	5.655351829	6.61176256	5.491853096	6.619119511	5.711494907	6.963474124	6.837943242	5.970393538	7.344295908	7.414473836	6.941341105	5.584962501	4.419538892	5.459431619	6.236492618	7.266786541	5.03562391	5.274261661	7.203592714
CO8A2	6.909293086	6.665335917	6.957682486	6.738767837	4.263034406	4.906890596	6.962317655	6.116863758	5.807354922	8.069315495	6.912889336	6.199672345	6.312882955	5.686500527	5.388878339	5.529820947	6.022367813	5.274261661	7.414473836	7.170926525	6.716990894	5.692092375	6.963474124	5.82527683	7.186857067	6.829088444	7.23457796	4.765534746	6.563768278	7.444600814	6.48058827	6.412781525	6.270528942	7.719046504	5.933100475	6.955359305	5.649615459	6.402585758	6.737416366	7.576673293	8.307428525	6.909293086	6.43629512	7.083213368	5.692092375	7.831623937	7.762215916	6.528258743	6.266786541	6.740118043	6.66106548	6.321928095	6.773468928	5.236492618	7.126188211	6.444600814	6.211401637	7.462706751	7.581953751	6.429615964	7.435461914	6.821455119	6.537606691	4.504620392	7.14974712	7.666756592	7.837943242	5.078951341	6.089582893	4.017921908	7.093813673	6.50779464	6.958842675	6.757556689	4.972692654	5.847996907	4.727920455	4.638073837	7.921840937	7.337175869	6.521992956	7.137503524	5.837943242	7.656067274
CO5A3	7.094869433	7.01346226	6.48864354	6.881419908	3.432959407	5.185866545	6.083213368	6.343407822	6.131342539	7.230741003	6.790511412	6.175923742	6.390598906	6.081083929	6.898450233	6.517275693	5.692092375	6.268658955	6.6794801	7.502235115	6.900866808	5.54225805	6.498250868	4.87774425	6.409390936	7.045486656	7.223036338	6.686500527	7.068240861	5.563768278	5.937815169	8.332260378	5.572889668	4.54225805	6.451211112	6.332707934	7.608809243	6.866660751	7.181897643	6.799605422	6.059614856	5.465974465	6.896029603	6.87036472	6.224966365	6.040015679	6.715618859	6.395748328	6.687900522	3.632268215	5.850499414	5.399171094	5.485426827	6.496654083	6.12722055	7.680183682	5.83541884	6.373300197	6.002252452	7.465974465	6.102238194	8.186857067	6.411087227	8.8008999	6.474111514	6.061776198	7.087462841	5.738767837	5.865423978	4.584962501	5.827819025	6.811214118	7.77016832	7.633721813	7.195741293	5.422905743	5.141596278	6.253611152	6.882643049	6.595443985	6.596935142	6.392317423	5.116863758	6.592457037
CO6A3	6.586464526	8.084276911	4.867896464	8.303780748	4.649615459	5.091699834	6.078951341	5.862947248	6.563768278	7.490249211	6.95070169	6.840463234	6.5360529	6.87282876	6.350497247	6.177917792	5.757556689	5.482202926	4.930737338	6.452858965	7.394891366	5.935459748	6.201633861	6.501439145	6.390598906	6.419538892	5.635173947	5.845490051	6.729280846	6.504620392	6.496654083	6.822730148	5.672425342	5.185866545	6.002252452	6.385431037	7.50779464	6.421223299	7.346956889	6.712870868	6.693486957	6.590961241	6.193771743	6.994353437	7.084276911	6.633721813	6.715618859	6.593951284	6.381975479	7.031218731	6.085339669	6.602884409	7.251719093	6.352264173	5.708739041	7.05202456	5.578938713	5.986410935	6.230741003	6.165911939	7.28169825	6.247927513	5.923624611	6.346956889	6.58345891	5.802193217	6.477353527	4.87774425	6.705977902	5.112700133	6.754887502	6.839203788	5.672425342	7.191799501	7.252665432	6.8008999	5.303780748	4.892391026	5.459431619	6.189824559	7.152791852	4.882643049	5.255500733	7.001126665
EMIL1	6.62497818	6.437960088	7.080018029	5.8899602	5.897240426	6.849248703	6.74819285	7.086401646	5.95419631	6.334496768	6.352264173	6.294620749	6.316507819	6.87774425	6.756222713	6.307428525	6.442943496	6.723831566	6.914086097	6.444600814	6.175923742	6.48058827	6.953032377	6.62497818	6.589463893	6.371558863	6.722466024	6.571373436	6.619119511	7.029011087	6.818901676	6.834154981	6.924812504	6.740118043	6.797012978	7.136478518	6.454504938	6.6794801	6.279842694	6.642412773	6.8899602	6.651051691	6.645298164	6.780047576	6.442943496	6.786596362	6.846744023	6.521992956	6.73470962	6.383704292	7.307428525	6.808642468	6.892391026	7.048759312	6.432959407	6.421223299	6.454504938	7.394891366	6.074676686	6.424586226	6.402585758	6.482202926	6.266786541	6.0	6.730639956	6.665335917	7.196725061	7.081083929	6.596935142	5.181897643	6.417852515	6.821455119	6.893604905	6.837943242	6.290940402	6.619119511	6.58345891	7.101187815	6.77478706	7.257387843	6.292781749	6.859224162	6.834154981	7.061776198
